货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间,查询日期
港币,86.73,86.73,87.07,87.07,87.01,2026/06/25 10:00:40,2026-06-25
港币,86.55,86.55,86.89,86.89,86.94,2026/06/26 10:02:57,2026-06-26
港币,86.57,86.57,86.91,86.91,86.94,2026/06/27 10:30:00,2026-06-27
港币,86.57,86.57,86.91,86.91,86.94,2026/06/28 10:30:00,2026-06-28
港币,86.6,86.6,86.94,86.94,86.92,2026/06/29 10:03:14,2026-06-29
港币,86.45,86.45,86.79,86.79,86.86,2026/06/30 10:00:19,2026-06-30
港币,86.43,86.43,86.77,86.77,86.78,2026/07/01 10:03:26,2026-07-01
港币,86.38,86.38,86.72,86.72,86.8,2026/07/02 10:01:06,2026-07-02
港币,86.31,86.31,86.65,86.65,86.75,2026/07/03 10:03:37,2026-07-03
港币,86.3,86.3,86.64,86.64,86.75,2026/07/04 10:30:00,2026-07-04
港币,86.3,86.3,86.64,86.64,86.75,2026/07/05 10:30:00,2026-07-05
港币,86.36,86.36,86.7,86.7,86.78,2026/07/06 10:02:03,2026-07-06
港币,86.37,86.37,86.71,86.71,86.78,2026/07/07 10:02:49,2026-07-07
港币,86.55,86.55,86.89,86.89,86.78,2026/07/08 10:03:05,2026-07-08
港币,86.55,86.55,86.89,86.89,86.79,2026/07/09 10:00:19,2026-07-09
港币,86.4,86.4,86.74,86.74,86.75,2026/07/10 10:00:03,2026-07-10
港币,86.3,86.3,86.64,86.64,86.75,2026/07/11 10:30:00,2026-07-11
港币,86.3,86.3,86.64,86.64,86.75,2026/07/12 10:30:00,2026-07-12
港币,86.32,86.32,86.66,86.66,86.69,2026/07/13 10:02:08,2026-07-13
港币,86.38,86.38,86.72,86.72,86.75,2026/07/14 10:02:14,2026-07-14
港币,86.18,86.18,86.52,86.52,86.65,2026/07/15 10:02:20,2026-07-15
港币,86.19,86.19,86.53,86.53,86.63,2026/07/16 10:02:26,2026-07-16
