货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间,查询日期
美元,729.21,729.21,732.28,732.28,718.84,2025/01/01 10:30:00,2025-01-01
美元,728.81,728.81,731.88,731.88,718.79,2025/01/02 10:10:17,2025-01-02
美元,728.96,728.96,732.03,732.03,718.78,2025/01/03 10:00:37,2025-01-03
美元,731.26,731.26,734.34,734.34,718.78,2025/01/04 10:30:00,2025-01-04
美元,731.26,731.26,734.34,734.34,718.78,2025/01/05 10:30:00,2025-01-05
美元,731.66,731.66,734.74,734.74,718.76,2025/01/06 10:01:33,2025-01-06
美元,731.71,731.71,734.79,734.79,718.79,2025/01/07 10:00:22,2025-01-07
美元,732.06,732.06,735.14,735.14,718.87,2025/01/08 10:10:02,2025-01-08
美元,732.01,732.01,735.09,735.09,718.86,2025/01/09 10:07:13,2025-01-09
美元,732.11,732.11,735.19,735.19,718.91,2025/01/10 10:10:21,2025-01-10
美元,732.36,732.36,735.44,735.44,718.91,2025/01/11 10:30:00,2025-01-11
美元,732.36,732.36,735.44,735.44,718.91,2025/01/12 10:30:00,2025-01-12
美元,731.92,731.92,735,735,718.85,2025/01/13 10:02:48,2025-01-13
美元,731.81,731.81,734.89,734.89,718.78,2025/01/14 10:02:41,2025-01-14
美元,731.96,731.96,735.04,735.04,718.83,2025/01/15 10:03:41,2025-01-15
美元,731.96,731.96,735.04,735.04,718.81,2025/01/16 10:00:00,2025-01-16
美元,731.51,731.51,734.59,734.59,718.89,2025/01/17 10:00:31,2025-01-17
美元,731.73,731.73,734.81,734.81,718.89,2025/01/18 10:30:00,2025-01-18
美元,731.73,731.73,734.81,734.81,718.89,2025/01/19 10:30:00,2025-01-19
美元,730.01,730.01,733.08,733.08,718.86,2025/01/20 10:03:43,2025-01-20
美元,726.99,726.99,730.05,730.05,717.03,2025/01/21 10:00:12,2025-01-21
美元,726.52,726.52,729.57,729.57,716.96,2025/01/22 10:04:33,2025-01-22
美元,726.77,726.77,729.82,729.82,717.08,2025/01/23 10:05:25,2025-01-23
美元,727.32,727.32,730.38,730.38,717.05,2025/01/24 10:00:51,2025-01-24
美元,723.67,723.67,726.72,726.72,717.05,2025/01/25 10:30:00,2025-01-25
美元,723.67,723.67,726.72,726.72,717.05,2025/01/26 10:30:00,2025-01-26
美元,725.52,725.52,728.57,728.57,716.98,2025/01/27 10:10:16,2025-01-27
美元,725.02,725.02,728.07,728.07,716.98,2025/01/28 10:03:14,2025-01-28
美元,725.02,725.02,728.07,728.07,716.98,2025/01/29 10:30:00,2025-01-29
美元,724.52,724.52,727.57,727.57,716.98,2025/01/30 10:30:00,2025-01-30
美元,725.02,725.02,728.07,728.07,716.98,2025/01/31 10:30:00,2025-01-31
美元,726.92,726.92,729.98,729.98,716.98,2025/02/01 10:30:00,2025-02-01
美元,726.92,726.92,729.98,729.98,716.98,2025/02/02 10:30:00,2025-02-02
美元,730.61,730.61,733.68,733.68,716.98,2025/02/03 10:05:46,2025-02-03
美元,730.11,730.11,733.18,733.18,716.98,2025/02/04 10:11:22,2025-02-04
美元,727.37,727.37,730.43,730.43,716.93,2025/02/05 10:01:13,2025-02-05
美元,726.32,726.32,729.37,729.37,716.91,2025/02/06 10:04:45,2025-02-06
美元,727.47,727.47,730.53,730.53,716.99,2025/02/07 10:09:25,2025-02-07
美元,728.21,728.21,731.28,731.28,716.99,2025/02/08 10:30:00,2025-02-08
美元,728.51,728.51,731.58,731.58,716.99,2025/02/09 10:30:00,2025-02-09
美元,729.31,729.31,732.38,732.38,717.07,2025/02/10 10:01:58,2025-02-10
美元,729.46,729.46,732.53,732.53,717.16,2025/02/11 10:01:09,2025-02-11
美元,729.51,729.51,732.58,732.58,717.1,2025/02/12 10:00:21,2025-02-12
美元,729.56,729.56,732.63,732.63,717.19,2025/02/13 10:02:11,2025-02-13
美元,727.12,727.12,730.18,730.18,717.06,2025/02/14 10:06:27,2025-02-14
美元,724.82,724.82,727.87,727.87,717.06,2025/02/15 10:30:00,2025-02-15
美元,724.82,724.82,727.87,727.87,717.06,2025/02/16 10:30:00,2025-02-16
