货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间,查询日期
港币,87.67,87.05,88.12,88.61,87.92,2023/01/01 10:30:00,2023-01-01
港币,87.52,87.11,88.13,88.5,87.87,2023/01/02 10:10:01,2023-01-02
港币,87.5,86.86,88.05,88.43,87.81,2023/01/03 10:00:42,2023-01-03
港币,87.58,87.11,87.94,88.67,87.77,2023/01/04 10:04:33,2023-01-04
港币,87.45,86.9,87.94,88.54,87.77,2023/01/05 10:00:09,2023-01-05
港币,87.39,86.98,87.95,88.44,87.71,2023/01/06 10:00:18,2023-01-06
港币,87.52,87.16,88.02,88.63,87.67,2023/01/07 10:30:00,2023-01-07
港币,87.46,86.84,87.99,88.39,87.72,2023/01/08 10:00:18,2023-01-08
港币,87.5,87.02,87.98,88.38,87.7,2023/01/09 11:03:26,2023-01-09
港币,87.37,87.05,87.87,88.29,87.63,2023/01/10 10:03:24,2023-01-10
港币,87.42,86.59,87.84,88.12,87.58,2023/01/11 10:00:11,2023-01-11
港币,87.42,86.81,87.85,88.43,87.66,2023/01/12 10:30:00,2023-01-12
港币,87.55,86.9,87.97,88.46,87.74,2023/01/13 10:00:59,2023-01-13
港币,87.58,86.86,88.08,88.32,87.77,2023/01/14 10:30:00,2023-01-14
港币,87.52,86.88,87.93,88.32,87.7,2023/01/15 10:30:00,2023-01-15
港币,87.45,87.15,88.05,88.37,87.7,2023/01/16 10:00:00,2023-01-16
港币,87.54,86.91,88.07,88.47,87.74,2023/01/17 10:00:25,2023-01-17
港币,87.4,87,88.08,88.39,87.73,2023/01/18 10:00:17,2023-01-18
港币,87.46,86.91,88.04,88.69,87.78,2023/01/19 10:01:32,2023-01-19
港币,87.58,87.12,88,88.51,87.79,2023/01/20 10:00:43,2023-01-20
港币,87.52,87.27,88.05,88.53,87.8,2023/01/21 10:30:00,2023-01-21
港币,87.43,87.03,87.96,88.69,87.72,2023/01/22 10:30:00,2023-01-22
港币,87.42,87.01,87.89,88.28,87.66,2023/01/23 10:08:17,2023-01-23
港币,87.35,86.67,87.79,88.38,87.64,2023/01/24 10:12:24,2023-01-24
港币,87.43,87.13,87.92,88.25,87.69,2023/01/25 10:30:00,2023-01-25
港币,87.51,87.2,88.01,88.41,87.74,2023/01/26 10:00:16,2023-01-26
港币,87.47,87.04,87.97,88.3,87.7,2023/01/27 10:09:28,2023-01-27
港币,87.31,87.06,87.94,88.42,87.66,2023/01/28 10:01:22,2023-01-28
港币,87.53,87.03,87.9,88.36,87.71,2023/01/29 10:06:53,2023-01-29
港币,87.32,86.8,87.93,88.42,87.66,2023/01/30 10:00:05,2023-01-30
港币,87.44,87.01,87.89,88.36,87.66,2023/01/31 10:02:35,2023-01-31
港币,87.43,86.96,87.81,88.5,87.64,2023/02/01 10:00:15,2023-02-01
港币,87.48,86.95,87.89,88.23,87.63,2023/02/02 10:02:03,2023-02-02
港币,87.36,86.71,88,88.31,87.69,2023/02/03 10:00:08,2023-02-03
港币,87.5,86.75,88,88.68,87.69,2023/02/04 10:30:00,2023-02-04
港币,87.39,86.83,88,88.23,87.67,2023/02/05 10:30:00,2023-02-05
港币,87.34,86.7,87.87,88.37,87.69,2023/02/06 10:01:51,2023-02-06
港币,87.36,87.03,87.87,88.2,87.62,2023/02/07 10:00:09,2023-02-07
港币,87.47,87.06,87.89,88.54,87.67,2023/02/08 10:00:25,2023-02-08
港币,87.31,86.86,87.89,88.47,87.65,2023/02/09 10:00:55,2023-02-09
港币,87.47,86.99,87.89,88.6,87.72,2023/02/10 10:00:57,2023-02-10
港币,87.41,86.87,87.89,88.36,87.67,2023/02/11 10:30:00,2023-02-11
港币,87.31,86.88,87.9,88.37,87.62,2023/02/12 10:30:00,2023-02-12
港币,87.27,86.71,87.73,88.45,87.55,2023/02/13 10:00:13,2023-02-13
港币,87.35,86.78,87.81,88.49,87.51,2023/02/14 10:00:15,2023-02-14
港币,87.35,86.69,87.74,88.26,87.51,2023/02/15 10:01:05,2023-02-15
港币,87.26,86.57,87.81,88.45,87.49,2023/02/16 10:08:14,2023-02-16
港币,87.34,86.63,87.7,88.31,87.5,2023/02/17 10:01:40,2023-02-17
港币,87.18,86.6,87.75,88.09,87.42,2023/02/18 10:30:00,2023-02-18
港币,87.14,86.75,87.73,88.42,87.48,2023/02/19 10:30:00,2023-02-19
港币,87.25,86.67,87.67,88.11,87.41,2023/02/20 10:00:16,2023-02-20
港币,87.14,86.63,87.69,87.98,87.42,2023/02/21 10:04:58,2023-02-21
港币,87.15,86.47,87.7,88,87.46,2023/02/22 10:00:39,2023-02-22
港币,87.1,86.47,87.68,88.12,87.45,2023/02/23 10:03:28,2023-02-23
港币,87.22,86.84,87.74,88.07,87.53,2023/02/24 10:00:48,2023-02-24
港币,87.32,86.64,87.9,88.53,87.6,2023/02/25 10:30:00,2023-02-25
港币,87.29,87.01,87.75,88.17,87.54,2023/02/26 10:30:00,2023-02-26
港币,87.23,86.67,87.73,88.24,87.53,2023/02/27 10:00:25,2023-02-27
港币,87.31,86.83,87.89,88.49,87.58,2023/02/28 10:01:15,2023-02-28
港币,87.35,86.71,87.74,88.23,87.54,2023/03/01 10:01:48,2023-03-01
港币,87.23,86.94,87.77,88.19,87.5,2023/03/02 10:00:33,2023-03-02
港币,87.18,86.75,87.67,88.41,87.44,2023/03/03 10:00:47,2023-03-03
港币,87.19,86.73,87.65,88.28,87.36,2023/03/04 10:30:00,2023-03-04
港币,87.22,86.47,87.6,87.93,87.37,2023/03/05 10:30:00,2023-03-05
港币,87.08,86.79,87.51,88.15,87.31,2023/03/06 10:00:39,2023-03-06
港币,87.1,86.41,87.56,87.81,87.26,2023/03/07 10:00:09,2023-03-07
港币,87.06,86.57,87.62,88.31,87.32,2023/03/08 10:00:26,2023-03-08
港币,86.99,86.65,87.55,88.12,87.29,2023/03/09 10:00:07,2023-03-09
港币,87.01,86.45,87.51,87.88,87.24,2023/03/10 10:00:28,2023-03-10
港币,87.05,86.53,87.52,87.94,87.27,2023/03/11 10:30:00,2023-03-11
港币,87,86.37,87.55,88.03,87.31,2023/03/12 10:30:00,2023-03-12
港币,87.1,86.56,87.58,88.26,87.28,2023/03/13 10:00:20,2023-03-13
港币,87.05,86.57,87.48,88.3,87.33,2023/03/14 10:00:11,2023-03-14
港币,87.15,86.47,87.56,88.06,87.34,2023/03/15 10:01:41,2023-03-15
港币,87.1,86.62,87.62,88.16,87.28,2023/03/16 10:01:06,2023-03-16
港币,87.01,86.64,87.55,88.1,87.31,2023/03/17 10:00:37,2023-03-17
港币,87.15,86.47,87.62,87.93,87.34,2023/03/18 10:30:00,2023-03-18
港币,86.97,86.6,87.6,88.25,87.28,2023/03/19 10:30:00,2023-03-19
港币,87.13,86.69,87.55,88.13,87.35,2023/03/20 10:00:36,2023-03-20
港币,87.08,86.47,87.61,87.92,87.39,2023/03/21 10:00:58,2023-03-21
港币,87.12,86.5,87.65,88.15,87.34,2023/03/22 10:00:18,2023-03-22
港币,87.19,86.58,87.7,87.9,87.39,2023/03/23 10:00:17,2023-03-23
港币,87.15,86.43,87.64,88,87.37,2023/03/24 10:00:36,2023-03-24
港币,87,86.47,87.57,88.08,87.34,2023/03/25 10:30:00,2023-03-25
港币,87.12,86.68,87.6,88.16,87.28,2023/03/26 10:30:00,2023-03-26
港币,87.1,86.74,87.44,87.88,87.25,2023/03/27 10:02:32,2023-03-27
港币,86.94,86.56,87.51,88.16,87.27,2023/03/28 10:01:00,2023-03-28
港币,86.86,86.58,87.52,87.98,87.2,2023/03/29 10:50:12,2023-03-29
港币,86.99,86.38,87.4,87.9,87.15,2023/03/30 10:00:36,2023-03-30
港币,86.76,86.14,87.39,87.99,87.09,2023/03/31 10:02:55,2023-03-31
港币,86.89,86.49,87.26,88.1,87.1,2023/04/01 10:30:00,2023-04-01
港币,86.72,86.11,87.31,87.96,87.05,2023/04/02 10:30:00,2023-04-02
港币,86.7,86.35,87.33,87.58,86.99,2023/04/03 10:01:04,2023-04-03
港币,86.91,86.09,87.4,87.97,87.07,2023/04/04 10:10:01,2023-04-04
港币,86.77,86.48,87.34,87.7,87.11,2023/04/05 20:18:45,2023-04-05
港币,86.82,86.12,87.36,87.62,87.06,2023/04/06 10:02:14,2023-04-06
港币,86.68,86.39,87.23,87.89,87.01,2023/04/07 10:10:26,2023-04-07
港币,86.78,86.23,87.15,87.63,86.98,2023/04/08 10:30:00,2023-04-08
港币,86.82,86.45,87.34,87.95,87.06,2023/04/09 10:30:00,2023-04-09
港币,86.77,86.4,87.34,87.77,87.06,2023/04/10 10:30:00,2023-04-10
港币,86.86,86.41,87.44,87.84,87.13,2023/04/11 10:00:13,2023-04-11
港币,87,86.35,87.35,88.1,87.2,2023/04/12 10:05:06,2023-04-12
港币,86.84,86.49,87.33,87.85,87.16,2023/04/13 14:09:19,2023-04-13
港币,86.86,86.54,87.52,87.83,87.2,2023/04/14 10:01:41,2023-04-14
港币,86.9,86.5,87.51,88.01,87.21,2023/04/15 10:30:00,2023-04-15
港币,86.86,86.23,87.44,87.75,87.14,2023/04/16 10:30:00,2023-04-16
港币,86.97,86.34,87.4,87.92,87.16,2023/04/17 10:23:52,2023-04-17
港币,86.85,86.59,87.36,88.05,87.19,2023/04/18 16:50:37,2023-04-18
港币,87,86.56,87.48,88.13,87.23,2023/04/19 10:00:21,2023-04-19
港币,86.93,86.66,87.54,88.19,87.27,2023/04/20 10:00:38,2023-04-20
港币,86.98,86.54,87.42,87.93,87.21,2023/04/21 20:12:41,2023-04-21
港币,86.88,86.6,87.48,87.71,87.16,2023/04/22 10:30:00,2023-04-22
港币,86.87,86.24,87.34,87.86,87.16,2023/04/24 10:00:15,2023-04-24
港币,86.8,86.51,87.26,87.73,87.09,2023/04/25 10:00:15,2023-04-25
港币,86.72,86.51,87.22,87.75,87.05,2023/04/27 10:00:14,2023-04-27
港币,86.71,86.32,87.3,87.59,87.02,2023/04/28 10:00:34,2023-04-28
港币,86.64,86.04,87.29,87.7,86.97,2023/04/29 10:30:00,2023-04-29
港币,86.75,86.12,87.18,87.72,86.99,2023/05/02 10:19:26,2023-05-02
港币,86.75,86.38,87.25,87.86,87.02,2023/05/03 10:02:47,2023-05-03
港币,86.7,86.03,87.24,87.72,86.95,2023/05/04 14:45:52,2023-05-04
港币,86.71,86.29,87.2,87.81,87.01,2023/05/05 20:33:17,2023-05-05
