货币名称,现汇买入价,现钞买入价,现汇卖出价,现钞卖出价,中行折算价,发布时间,查询日期
美元,688.8,683.2,691.72,691.72,696.46,2023/01/01 10:30:00,2023-01-01
美元,689.9,684.29,692.82,692.82,696.46,2023/01/02 10:10:01,2023-01-02
美元,690.55,684.93,693.48,693.48,694.75,2023/01/03 10:00:42,2023-01-03
美元,688.8,683.2,691.72,691.72,691.31,2023/01/04 10:04:33,2023-01-04
美元,686.91,681.32,689.82,689.82,689.26,2023/01/05 10:00:09,2023-01-05
美元,685.96,680.38,688.87,688.87,689.12,2023/01/06 10:00:18,2023-01-06
美元,682.31,676.76,685.21,685.21,689.12,2023/01/07 10:30:00,2023-01-07
美元,682.31,676.76,685.21,685.21,689.12,2023/01/08 10:00:18,2023-01-08
美元,677.52,672.01,680.4,680.4,682.65,2023/01/09 11:03:26,2023-01-09
美元,674.43,668.94,677.29,677.29,676.11,2023/01/10 10:03:24,2023-01-10
美元,677.52,672.01,680.4,680.4,677.56,2023/01/11 10:00:11,2023-01-11
美元,675.03,669.54,677.89,677.89,676.8,2023/01/12 10:30:00,2023-01-12
美元,670.94,665.48,673.78,673.78,672.92,2023/01/13 10:00:59,2023-01-13
美元,669.44,663.99,672.28,672.28,672.92,2023/01/14 10:30:00,2023-01-14
美元,669.44,663.99,672.28,672.28,672.92,2023/01/15 10:30:00,2023-01-15
美元,668.14,662.71,670.97,670.97,671.35,2023/01/16 10:00:00,2023-01-16
美元,673.33,667.85,676.19,676.19,672.22,2023/01/17 10:00:25,2023-01-17
美元,676.53,671.02,679.39,679.39,676.02,2023/01/18 10:00:17,2023-01-18
美元,676.83,671.32,679.69,679.69,676.74,2023/01/19 10:01:32,2023-01-19
美元,676.92,671.42,679.79,679.79,677.02,2023/01/20 10:00:43,2023-01-20
美元,677.32,671.81,680.19,680.19,677.02,2023/01/21 10:30:00,2023-01-21
美元,677.32,671.81,680.19,680.19,677.02,2023/01/22 10:30:00,2023-01-22
美元,678.12,672.61,681.0,681.0,677.02,2023/01/23 10:08:17,2023-01-23
美元,678.12,672.61,681.0,681.0,677.02,2023/01/24 10:12:24,2023-01-24
美元,678.12,672.61,681.0,681.0,677.02,2023/01/25 10:30:00,2023-01-25
美元,678.12,672.61,681.0,681.0,677.02,2023/01/26 10:00:16,2023-01-26
美元,678.12,672.61,681.0,681.0,677.02,2023/01/27 10:09:28,2023-01-27
美元,675.23,669.74,678.09,678.09,677.02,2023/01/28 10:01:22,2023-01-28
美元,673.73,668.25,676.59,676.59,677.02,2023/01/29 10:06:53,2023-01-29
美元,673.63,668.15,676.49,676.49,676.26,2023/01/30 10:00:05,2023-01-30
美元,674.33,668.84,677.19,677.19,676.04,2023/01/31 10:02:35,2023-01-31
美元,673.63,668.15,676.49,676.49,674.92,2023/02/01 10:00:15,2023-02-01
美元,670.64,665.18,673.48,673.48,671.3,2023/02/02 10:02:03,2023-02-02
美元,673.13,667.66,675.98,675.98,673.82,2023/02/03 10:00:08,2023-02-03
美元,678.52,673.0,681.4,681.4,673.82,2023/02/04 10:30:00,2023-02-04
美元,678.52,673.0,681.4,681.4,673.82,2023/02/05 10:30:00,2023-02-05
美元,677.92,672.41,680.8,680.8,677.37,2023/02/06 10:01:51,2023-02-06
美元,676.23,670.73,679.09,679.09,679.67,2023/02/07 10:00:09,2023-02-07
美元,676.58,671.07,679.44,679.44,677.52,2023/02/08 10:00:25,2023-02-08
美元,677.67,672.16,680.55,680.55,679.05,2023/02/09 10:00:55,2023-02-09
美元,677.77,672.26,680.65,680.65,678.84,2023/02/10 10:00:57,2023-02-10
美元,679.92,674.39,682.8,682.8,678.84,2023/02/11 10:30:00,2023-02-11
美元,679.92,674.39,682.8,682.8,678.84,2023/02/12 10:30:00,2023-02-12
美元,681.17,675.63,684.05,684.05,681.51,2023/02/13 10:00:13,2023-02-13
美元,680.27,674.73,683.15,683.15,681.36,2023/02/14 10:00:15,2023-02-14
美元,681.62,676.07,684.5,684.5,681.83,2023/02/15 10:01:05,2023-02-15
美元,683.81,678.25,686.71,686.71,685.19,2023/02/16 10:08:14,2023-02-16
美元,686.46,680.87,689.37,689.37,686.59,2023/02/17 10:01:40,2023-02-17
美元,685.31,679.73,688.21,688.21,686.59,2023/02/18 10:30:00,2023-02-18
美元,685.31,679.73,688.21,688.21,686.59,2023/02/19 10:30:00,2023-02-19
美元,686.06,680.48,688.97,688.97,686.43,2023/02/20 10:00:16,2023-02-20
美元,685.16,679.59,688.06,688.06,685.57,2023/02/21 10:04:58,2023-02-21
美元,687.85,682.26,690.77,690.77,687.59,2023/02/22 10:00:39,2023-02-22
美元,688.05,682.46,690.97,690.97,690.28,2023/02/23 10:03:28,2023-02-23
美元,690.15,684.54,693.07,693.07,689.42,2023/02/24 10:00:48,2023-02-24
美元,694.62,688.97,697.57,697.57,689.42,2023/02/25 10:30:00,2023-02-25
美元,694.62,688.97,697.57,697.57,689.42,2023/02/26 10:30:00,2023-02-26
美元,694.39,688.74,697.33,697.33,695.72,2023/02/27 10:00:25,2023-02-27
美元,692.89,687.26,695.83,695.83,695.19,2023/02/28 10:01:15,2023-02-28
美元,691.45,685.82,694.38,694.38,694.0,2023/03/01 10:01:48,2023-03-01
美元,687.95,682.36,690.87,690.87,688.08,2023/03/02 10:00:33,2023-03-02
美元,688.7,683.1,691.62,691.62,691.17,2023/03/03 10:00:47,2023-03-03
美元,689.0,683.4,691.92,691.92,691.17,2023/03/04 10:30:00,2023-03-04
美元,689.0,683.4,691.92,691.92,691.17,2023/03/05 10:30:00,2023-03-05
美元,689.8,684.19,692.72,692.72,689.51,2023/03/06 10:00:39,2023-03-06
